#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACPT	LOC101069418	31033.ENSTRUP00000035623	31033.ENSTRUP00000006989	0	0	0	0	0	0	0	0.637	0.637
ACVR1	inhbb	31033.ENSTRUP00000017212	31033.ENSTRUP00000004241	0	0	0	0	0	0.266	0.700	0.463	0.871
ACVR1	ACVR1C	31033.ENSTRUP00000017212	31033.ENSTRUP00000017532	0	0	0	0.933	0	0.375	0	0.732	0.405
ACVR1	LOC101074463	31033.ENSTRUP00000017212	31033.ENSTRUP00000043941	0	0	0	0	0	0.266	0.241	0.068	0.435
ACVR1	LOC101072897	31033.ENSTRUP00000017212	31033.ENSTRUP00000043871	0	0	0	0	0	0.266	0.241	0.168	0.496
ACVR1	LOC446041	31033.ENSTRUP00000017212	31033.ENSTRUP00000032796	0	0	0	0	0	0.266	0.241	0.303	0.577
ACVR1	LOC777975	31033.ENSTRUP00000017212	31033.ENSTRUP00000036627	0	0	0	0	0.054	0	0.418	0.383	0.630
ACVR1C	inhbb	31033.ENSTRUP00000017532	31033.ENSTRUP00000004241	0	0	0	0	0	0.266	0.851	0.250	0.911
ACVR1C	LOC101069117	31033.ENSTRUP00000017532	31033.ENSTRUP00000014908	0.044	0	0	0	0.061	0.126	0.331	0.066	0.420
ACVR1C	LOC101074463	31033.ENSTRUP00000017532	31033.ENSTRUP00000043941	0	0	0	0	0	0.266	0.241	0.068	0.435
ACVR1C	LOC777975	31033.ENSTRUP00000017532	31033.ENSTRUP00000036627	0	0	0	0	0.054	0	0.418	0.119	0.472
ACVR1C	LOC101072897	31033.ENSTRUP00000017532	31033.ENSTRUP00000043871	0	0	0	0	0	0.266	0.241	0.153	0.486
ACVR1C	LOC446041	31033.ENSTRUP00000017532	31033.ENSTRUP00000032796	0	0	0	0	0.056	0.266	0.241	0.336	0.604
ADAMTS14	col5a2	31033.ENSTRUP00000033251	31033.ENSTRUP00000004810	0	0	0	0	0.061	0.143	0.607	0.374	0.775
ADAMTS14	col4a1	31033.ENSTRUP00000033251	31033.ENSTRUP00000015804	0	0	0	0	0.060	0.127	0.291	0.121	0.420
ADAMTS14	LOC101063107	31033.ENSTRUP00000033251	31033.ENSTRUP00000018625	0	0	0	0	0.061	0.143	0.548	0.056	0.610
ADAMTS14	col4a2	31033.ENSTRUP00000033251	31033.ENSTRUP00000020270	0	0	0	0	0.060	0.127	0.291	0.121	0.420
ADAMTS14	pald1	31033.ENSTRUP00000033251	31033.ENSTRUP00000033004	0	0	0	0	0.059	0	0	0.709	0.714
ARHGAP6 (1 of many)	ARL6	31033.ENSTRUP00000019597	31033.ENSTRUP00000008720	0	0	0	0	0	0.126	0.398	0.052	0.457
ARHGAP6 (1 of many)	LOC101077609	31033.ENSTRUP00000019597	31033.ENSTRUP00000018486	0	0	0	0	0	0.126	0.511	0.052	0.559
ARHGAP6 (1 of many)	ENSTRUP00000023164	31033.ENSTRUP00000019597	31033.ENSTRUP00000023164	0	0	0	0	0	0.182	0.350	0.106	0.483
ARHGAP6 (1 of many)	rhot2	31033.ENSTRUP00000019597	31033.ENSTRUP00000039397	0	0	0	0	0.063	0.126	0.451	0.052	0.516
ARHGAP6 (1 of many)	rac1	31033.ENSTRUP00000019597	31033.ENSTRUP00000042931	0	0	0	0	0	0.182	0.469	0.106	0.577
ARL6	SPEG	31033.ENSTRUP00000008720	31033.ENSTRUP00000008607	0	0	0	0	0.061	0.268	0.445	0	0.585
ARL6	LOC101074914	31033.ENSTRUP00000008720	31033.ENSTRUP00000014173	0	0	0	0	0.060	0.122	0.332	0.051	0.406
ARL6	sec22a	31033.ENSTRUP00000008720	31033.ENSTRUP00000036409	0	0	0	0	0.092	0.150	0.226	0.149	0.423
ARL6	chn1	31033.ENSTRUP00000008720	31033.ENSTRUP00000045021	0	0	0	0	0	0.153	0.357	0	0.432
Aff3	LOC101069810	31033.ENSTRUP00000036892	31033.ENSTRUP00000034666	0	0	0	0	0	0	0	0.628	0.628
Aff3	LONRF2	31033.ENSTRUP00000036892	31033.ENSTRUP00000038505	0	0	0	0	0.052	0	0.151	0.326	0.410
Alpha-sarcoglycan-like	ENSTRUP00000019348	31033.ENSTRUP00000022753	31033.ENSTRUP00000019348	0	0	0	0	0.060	0	0	0.529	0.538
CACNA1G	KCNJ3	31033.ENSTRUP00000044026	31033.ENSTRUP00000018657	0	0	0	0	0.062	0.071	0	0.415	0.445
CAPN15	LOC101062452	31033.ENSTRUP00000036527	31033.ENSTRUP00000011498	0	0	0	0	0	0.058	0.507	0	0.515
CCDC138	CCDC186	31033.ENSTRUP00000010230	31033.ENSTRUP00000031151	0	0	0	0	0	0	0	0.657	0.657
CCDC186	GCC2	31033.ENSTRUP00000031151	31033.ENSTRUP00000006069	0	0	0	0	0.063	0	0.329	0.266	0.498
CCDC186	nhlrc2	31033.ENSTRUP00000031151	31033.ENSTRUP00000031436	0	0	0	0	0.063	0	0	0.772	0.777
CCDC186	dclre1a	31033.ENSTRUP00000031151	31033.ENSTRUP00000031659	0	0	0	0	0.062	0	0	0.774	0.778
CCKBR	ENSTRUP00000028975	31033.ENSTRUP00000011210	31033.ENSTRUP00000028975	0	0	0	0	0	0	0.065	0.397	0.412
CHUK	ifih1	31033.ENSTRUP00000022821	31033.ENSTRUP00000003254	0	0	0	0	0.061	0.092	0.284	0.628	0.742
CHUK	LOC101077697	31033.ENSTRUP00000022821	31033.ENSTRUP00000003439	0	0	0	0	0.061	0.154	0.422	0	0.500
CHUK	ENSTRUP00000013397	31033.ENSTRUP00000022821	31033.ENSTRUP00000013397	0	0	0	0	0	0.205	0.350	0.214	0.558
CHUK	tanc1	31033.ENSTRUP00000022821	31033.ENSTRUP00000014651	0	0	0	0	0	0.267	0.243	0.496	0.695
CHUK	asb1	31033.ENSTRUP00000022821	31033.ENSTRUP00000014875	0	0	0	0	0	0.267	0.243	0.052	0.428
CHUK	TANC2	31033.ENSTRUP00000022821	31033.ENSTRUP00000016854	0	0	0	0	0	0.267	0.243	0.170	0.499
CHUK	ube2f	31033.ENSTRUP00000022821	31033.ENSTRUP00000018650	0	0	0	0	0	0.043	0.437	0.059	0.448
CHUK	LOC101077156	31033.ENSTRUP00000022821	31033.ENSTRUP00000044000	0	0	0	0	0	0.267	0.243	0.052	0.428
CHUK	LOC101071101	31033.ENSTRUP00000022821	31033.ENSTRUP00000028196	0	0	0	0	0	0.267	0.243	0.052	0.428
