#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACPT	LOC101069418	31033.ENSTRUP00000035623	31033.ENSTRUP00000006989	0	0	0	0	0	0	0	0.637	0.637
ACVR1	inhbb	31033.ENSTRUP00000017212	31033.ENSTRUP00000004241	0	0	0	0	0	0.266	0.700	0.463	0.871
ACVR1	ACVR1C	31033.ENSTRUP00000017212	31033.ENSTRUP00000017532	0	0	0	0.933	0	0.375	0	0.732	0.405
ACVR1	LOC101074463	31033.ENSTRUP00000017212	31033.ENSTRUP00000043941	0	0	0	0	0	0.266	0.241	0.068	0.435
ACVR1	nodal	31033.ENSTRUP00000017212	31033.ENSTRUP00000032823	0	0	0	0	0	0.266	0.241	0.068	0.435
ACVR1	LOC101072897	31033.ENSTRUP00000017212	31033.ENSTRUP00000043871	0	0	0	0	0	0.266	0.241	0.168	0.496
ACVR1	LOC101069811	31033.ENSTRUP00000017212	31033.ENSTRUP00000037740	0	0	0	0	0.053	0.266	0.241	0.173	0.505
ACVR1	atf2	31033.ENSTRUP00000017212	31033.ENSTRUP00000044991	0	0	0	0	0.060	0.064	0.483	0.046	0.507
ACVR1	pdpk1	31033.ENSTRUP00000017212	31033.ENSTRUP00000039872	0	0	0	0.563	0.060	0.178	0.439	0.061	0.532
ACVR1	LOC446041	31033.ENSTRUP00000017212	31033.ENSTRUP00000032796	0	0	0	0	0	0.266	0.241	0.303	0.577
ACVR1	LOC777975	31033.ENSTRUP00000017212	31033.ENSTRUP00000036627	0	0	0	0	0.054	0	0.418	0.383	0.630
ACVR1	gdf2	31033.ENSTRUP00000017212	31033.ENSTRUP00000043870	0	0	0	0	0	0.266	0.241	0.735	0.839
ACVR1C	inhbb	31033.ENSTRUP00000017532	31033.ENSTRUP00000004241	0	0	0	0	0	0.266	0.851	0.250	0.911
ACVR1C	LOC101069117	31033.ENSTRUP00000017532	31033.ENSTRUP00000014908	0.044	0	0	0	0.061	0.126	0.331	0.066	0.420
ACVR1C	upp2	31033.ENSTRUP00000017532	31033.ENSTRUP00000016693	0	0	0	0	0	0	0	0.518	0.518
ACVR1C	LOC101074463	31033.ENSTRUP00000017532	31033.ENSTRUP00000043941	0	0	0	0	0	0.266	0.241	0.068	0.435
ACVR1C	LOC777975	31033.ENSTRUP00000017532	31033.ENSTRUP00000036627	0	0	0	0	0.054	0	0.418	0.119	0.472
ACVR1C	LOC101072897	31033.ENSTRUP00000017532	31033.ENSTRUP00000043871	0	0	0	0	0	0.266	0.241	0.153	0.486
ACVR1C	atf2	31033.ENSTRUP00000017532	31033.ENSTRUP00000044991	0	0	0	0	0.060	0.064	0.489	0	0.511
ACVR1C	pdpk1	31033.ENSTRUP00000017532	31033.ENSTRUP00000039872	0	0	0	0.554	0.060	0.178	0.450	0.067	0.543
ACVR1C	LOC446041	31033.ENSTRUP00000017532	31033.ENSTRUP00000032796	0	0	0	0	0.056	0.266	0.241	0.336	0.604
ACVR1C	gdf2	31033.ENSTRUP00000017532	31033.ENSTRUP00000043870	0	0	0	0	0	0.266	0.241	0.619	0.769
ACVR1C	nodal	31033.ENSTRUP00000017532	31033.ENSTRUP00000032823	0	0	0	0	0	0.266	0.851	0.238	0.909
ACVR1C	LOC101069811	31033.ENSTRUP00000017532	31033.ENSTRUP00000037740	0	0	0	0	0	0.266	0.841	0.766	0.970
ADAM23	ENSTRUP00000008992	31033.ENSTRUP00000044629	31033.ENSTRUP00000008992	0	0	0	0.782	0	0.383	0.135	0.573	0.510
ADAM23	LOC101070646	31033.ENSTRUP00000044629	31033.ENSTRUP00000017072	0	0	0	0	0	0	0	0.709	0.709
ADAM23	lgi1b	31033.ENSTRUP00000044629	31033.ENSTRUP00000024259	0	0	0	0	0.061	0.205	0.530	0.754	0.902
ADAM23	ITGBL1	31033.ENSTRUP00000044629	31033.ENSTRUP00000031299	0	0	0	0	0.061	0.047	0.197	0.376	0.491
ADAMTS14	col5a2	31033.ENSTRUP00000033251	31033.ENSTRUP00000004810	0	0	0	0	0.061	0.143	0.607	0.374	0.775
ADAMTS14	col4a1	31033.ENSTRUP00000033251	31033.ENSTRUP00000015804	0	0	0	0	0.060	0.127	0.291	0.121	0.420
ADAMTS14	LOC101063107	31033.ENSTRUP00000033251	31033.ENSTRUP00000018625	0	0	0	0	0.061	0.143	0.548	0.056	0.610
ADAMTS14	col4a2	31033.ENSTRUP00000033251	31033.ENSTRUP00000020270	0	0	0	0	0.060	0.127	0.291	0.121	0.420
ADAMTS14	pald1	31033.ENSTRUP00000033251	31033.ENSTRUP00000033004	0	0	0	0	0.059	0	0	0.709	0.714
ADAMTS14	fut13	31033.ENSTRUP00000033251	31033.ENSTRUP00000036410	0	0	0	0	0.060	0	0.734	0.097	0.754
ADAP1	COX19	31033.ENSTRUP00000043969	31033.ENSTRUP00000043968	0	0	0	0	0.063	0	0	0.518	0.529
ARHGAP6 (1 of many)	LOC101075569	31033.ENSTRUP00000019597	31033.ENSTRUP00000002807	0	0	0	0	0.156	0	0	0.336	0.415
ARHGAP6 (1 of many)	ARL6	31033.ENSTRUP00000019597	31033.ENSTRUP00000008720	0	0	0	0	0	0.126	0.398	0.052	0.457
ARHGAP6 (1 of many)	VGLL3	31033.ENSTRUP00000019597	31033.ENSTRUP00000009889	0	0	0	0	0	0	0	0.472	0.472
ARHGAP6 (1 of many)	ARL4D	31033.ENSTRUP00000019597	31033.ENSTRUP00000012192	0	0	0	0	0	0.126	0.398	0.052	0.457
ARHGAP6 (1 of many)	ENSTRUP00000014011	31033.ENSTRUP00000019597	31033.ENSTRUP00000014011	0	0	0	0	0	0	0	0.641	0.641
ARHGAP6 (1 of many)	LOC101079195	31033.ENSTRUP00000019597	31033.ENSTRUP00000016830	0	0	0	0	0.060	0.126	0.340	0.087	0.438
ARHGAP6 (1 of many)	LOC101077609	31033.ENSTRUP00000019597	31033.ENSTRUP00000018486	0	0	0	0	0	0.126	0.511	0.052	0.559
ARHGAP6 (1 of many)	rasd1	31033.ENSTRUP00000019597	31033.ENSTRUP00000043978	0	0	0	0	0.060	0.126	0.340	0.087	0.438
ARHGAP6 (1 of many)	arl5a	31033.ENSTRUP00000019597	31033.ENSTRUP00000037338	0	0	0	0	0	0.126	0.398	0.052	0.457
ARHGAP6 (1 of many)	ENSTRUP00000023164	31033.ENSTRUP00000019597	31033.ENSTRUP00000023164	0	0	0	0	0	0.182	0.350	0.106	0.483
