# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	105	521	-					nusB		HELPY_RS00015	417		old_locus_tag=HELPY_0001
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	105	521	-	WP_000235739.1	WP_000235739.1		transcription antitermination factor NusB	nusB		HELPY_RS00015	417	138	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	523	993	-					ribH		HELPY_RS00020	471		old_locus_tag=HELPY_0002
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	523	993	-	WP_001219991.1	WP_001219991.1		6,7-dimethyl-8-ribityllumazine synthase	ribH		HELPY_RS00020	471	156	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	1003	1833	-					kdsA		HELPY_RS00025	831		old_locus_tag=HELPY_0003
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	1003	1833	-	WP_000858174.1	WP_000858174.1		3-deoxy-8-phosphooctulonate synthase	kdsA		HELPY_RS00025	831	276	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	1820	2485	-							HELPY_RS00030	666		old_locus_tag=HELPY_0004
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	1820	2485	-	WP_000387099.1	WP_000387099.1		carbonic anhydrase			HELPY_RS00030	666	221	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	2605	3288	+					pyrF		HELPY_RS00035	684		old_locus_tag=HELPY_0005
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	2605	3288	+	WP_001175305.1	WP_001175305.1		orotidine-5'-phosphate decarboxylase	pyrF		HELPY_RS00035	684	227	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	3289	4119	+					panC		HELPY_RS00040	831		old_locus_tag=HELPY_0006
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	3289	4119	+	WP_001264304.1	WP_001264304.1		pantoate--beta-alanine ligase	panC		HELPY_RS00040	831	276	
gene	tRNA	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	4133	4208	-							HELPY_RS00045	76		old_locus_tag=HELPY_tRNA36
tRNA		GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	4133	4208	-				tRNA-Glu			HELPY_RS00045	76		anticodon=TTC
gene	tRNA	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	4272	4348	-							HELPY_RS00050	77		old_locus_tag=HELPY_tRNA35
tRNA		GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	4272	4348	-				tRNA-Asp			HELPY_RS00050	77		anticodon=GTC
gene	tRNA	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	4389	4464	-							HELPY_RS00055	76		old_locus_tag=HELPY_tRNA34
tRNA		GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	4389	4464	-				tRNA-Val			HELPY_RS00055	76		anticodon=TAC
gene	tRNA	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	4505	4579	-							HELPY_RS00060	75		old_locus_tag=HELPY_tRNA33
tRNA		GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	4505	4579	-				tRNA-Glu			HELPY_RS00060	75		anticodon=TTC
gene	tRNA	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	4590	4665	-							HELPY_RS00065	76		old_locus_tag=HELPY_tRNA32
tRNA		GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	4590	4665	-				tRNA-Lys			HELPY_RS00065	76		anticodon=TTT
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	5118	7130	-					hopZ		HELPY_RS00070	2013		old_locus_tag=HELPY_0007
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	5118	7130	-	WP_000752075.1	WP_000752075.1		Hop family adhesin HopZ	hopZ		HELPY_RS00070	2013	670	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	7478	9118	-					groL		HELPY_RS00075	1641		old_locus_tag=HELPY_0008
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	7478	9118	-	WP_001040278.1	WP_001040278.1		chaperonin GroEL	groL		HELPY_RS00075	1641	546	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	9144	9500	-					groES		HELPY_RS00080	357		old_locus_tag=HELPY_0009
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	9144	9500	-	WP_000671934.1	WP_000671934.1		co-chaperone GroES	groES		HELPY_RS00080	357	118	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	9787	11466	+					dnaG		HELPY_RS00085	1680		old_locus_tag=HELPY_0010
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	9787	11466	+	WP_000601541.1	WP_000601541.1		DNA primase	dnaG		HELPY_RS00085	1680	559	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	11463	12515	+							HELPY_RS00090	1053		old_locus_tag=HELPY_0011
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	11463	12515	+	WP_000721208.1	WP_000721208.1		MnmA/TRMU family protein			HELPY_RS00090	1053	350	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	12605	13432	+							HELPY_RS00095	828		old_locus_tag=HELPY_0012
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	12605	13432	+	WP_001154864.1	WP_001154864.1		DUF5718 family protein			HELPY_RS00095	828	275	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	13578	13859	+							HELPY_RS00100	282		old_locus_tag=HELPY_0013
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	13578	13859	+	WP_001272692.1	WP_001272692.1		TrbC/VirB2 family protein			HELPY_RS00100	282	93	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	13859	14122	+							HELPY_RS00105	264		old_locus_tag=HELPY_0014
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	13859	14122	+	WP_000584956.1	WP_000584956.1		hypothetical protein			HELPY_RS00105	264	87	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	14124	16487	+							HELPY_RS00110	2364		old_locus_tag=HELPY_0015
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	14124	16487	+	WP_000890485.1	WP_000890485.1		VirB4 family type IV secretion/conjugal transfer ATPase			HELPY_RS00110	2364	787	
gene	SRP_RNA	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	16518	16615	-					ffs		HELPY_RS07805	98		old_locus_tag=HELPY_misc_RNA_2
ncRNA	SRP_RNA	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	16518	16615	-				signal recognition particle sRNA small type	ffs		HELPY_RS07805	98		
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	16781	18121	+							HELPY_RS00115	1341		old_locus_tag=HELPY_0016
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	16781	18121	+	WP_041200368.1	WP_041200368.1		hypothetical protein			HELPY_RS00115	1341	446	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	18229	19194	+					cheV1		HELPY_RS00120	966		old_locus_tag=HELPY_0017
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	18229	19194	+	WP_000785444.1	WP_000785444.1		chemotaxis protein CheV1	cheV1		HELPY_RS00120	966	321	
